,date,departamento,new_cases,new_deaths,median_age,population
359,2020-05-04,ANTIOQUIA,5,,31.3,6677930
360,2020-05-05,ANTIOQUIA,3,,31.3,6677930
361,2020-05-06,ANTIOQUIA,5,,31.3,6677930
362,2020-05-07,ANTIOQUIA,4,,31.3,6677930
363,2020-05-08,ANTIOQUIA,4,,31.3,6677930
364,2020-05-09,ANTIOQUIA,2,,31.3,6677930
365,2020-05-10,ANTIOQUIA,2,,31.3,6677930
366,2020-05-11,ANTIOQUIA,6,,31.3,6677930
367,2020-05-12,ANTIOQUIA,7,,31.3,6677930
368,2020-05-13,ANTIOQUIA,10,,31.3,6677930
369,2020-05-14,ANTIOQUIA,10,,31.3,6677930
370,2020-05-15,ANTIOQUIA,8,,31.3,6677930
371,2020-05-16,ANTIOQUIA,9,,31.3,6677930
372,2020-05-17,ANTIOQUIA,16,,31.3,6677930
373,2020-05-18,ANTIOQUIA,9,,31.3,6677930
374,2020-05-19,ANTIOQUIA,18,,31.3,6677930
375,2020-05-20,ANTIOQUIA,12,,31.3,6677930
376,2020-05-21,ANTIOQUIA,14,,31.3,6677930
377,2020-05-22,ANTIOQUIA,29,,31.3,6677930
378,2020-05-23,ANTIOQUIA,61,,31.3,6677930
379,2020-05-24,ANTIOQUIA,43,,31.3,6677930
380,2020-05-25,ANTIOQUIA,141,,31.3,6677930
381,2020-05-26,ANTIOQUIA,71,,31.3,6677930
382,2020-05-27,ANTIOQUIA,25,1.0,31.3,6677930
383,2020-05-28,ANTIOQUIA,48,,31.3,6677930
384,2020-05-29,ANTIOQUIA,19,,31.3,6677930
385,2020-05-30,ANTIOQUIA,35,,31.3,6677930
386,2020-05-31,ANTIOQUIA,45,,31.3,6677930
387,2020-06-01,ANTIOQUIA,68,,31.3,6677930
388,2020-06-02,ANTIOQUIA,29,,31.3,6677930
389,2020-06-03,ANTIOQUIA,60,1.0,31.3,6677930
390,2020-06-04,ANTIOQUIA,68,,31.3,6677930
391,2020-06-05,ANTIOQUIA,32,1.0,31.3,6677930
392,2020-06-06,ANTIOQUIA,91,1.0,31.3,6677930
393,2020-06-07,ANTIOQUIA,67,1.0,31.3,6677930
394,2020-06-08,ANTIOQUIA,55,,31.3,6677930
395,2020-06-09,ANTIOQUIA,74,,31.3,6677930
396,2020-06-10,ANTIOQUIA,56,,31.3,6677930
397,2020-06-11,ANTIOQUIA,29,1.0,31.3,6677930
398,2020-06-12,ANTIOQUIA,50,,31.3,6677930
399,2020-06-13,ANTIOQUIA,102,,31.3,6677930
400,2020-06-14,ANTIOQUIA,137,1.0,31.3,6677930
401,2020-06-15,ANTIOQUIA,127,2.0,31.3,6677930
402,2020-06-16,ANTIOQUIA,125,,31.3,6677930
403,2020-06-17,ANTIOQUIA,96,1.0,31.3,6677930
404,2020-06-18,ANTIOQUIA,128,,31.3,6677930
405,2020-06-19,ANTIOQUIA,159,,31.3,6677930
406,2020-06-20,ANTIOQUIA,96,2.0,31.3,6677930
407,2020-06-21,ANTIOQUIA,171,2.0,31.3,6677930
408,2020-06-22,ANTIOQUIA,87,3.0,31.3,6677930
409,2020-06-23,ANTIOQUIA,90,2.0,31.3,6677930
410,2020-06-24,ANTIOQUIA,142,7.0,31.3,6677930
411,2020-06-25,ANTIOQUIA,223,1.0,31.3,6677930
412,2020-06-26,ANTIOQUIA,190,1.0,31.3,6677930
413,2020-06-27,ANTIOQUIA,208,1.0,31.3,6677930
414,2020-06-28,ANTIOQUIA,216,3.0,31.3,6677930
415,2020-06-29,ANTIOQUIA,143,2.0,31.3,6677930
416,2020-06-30,ANTIOQUIA,210,6.0,31.3,6677930
417,2020-07-01,ANTIOQUIA,228,5.0,31.3,6677930
418,2020-07-02,ANTIOQUIA,319,6.0,31.3,6677930
419,2020-07-03,ANTIOQUIA,283,6.0,31.3,6677930
420,2020-07-04,ANTIOQUIA,412,4.0,31.3,6677930
421,2020-07-05,ANTIOQUIA,314,6.0,31.3,6677930
422,2020-07-06,ANTIOQUIA,397,10.0,31.3,6677930
423,2020-07-07,ANTIOQUIA,389,3.0,31.3,6677930
424,2020-07-08,ANTIOQUIA,474,8.0,31.3,6677930
425,2020-07-09,ANTIOQUIA,579,18.0,31.3,6677930
426,2020-07-10,ANTIOQUIA,626,16.0,31.3,6677930
427,2020-07-11,ANTIOQUIA,293,20.0,31.3,6677930
428,2020-07-12,ANTIOQUIA,508,14.0,31.3,6677930
429,2020-07-13,ANTIOQUIA,329,26.0,31.3,6677930
430,2020-07-14,ANTIOQUIA,991,18.0,31.3,6677930
431,2020-07-15,ANTIOQUIA,776,15.0,31.3,6677930
432,2020-07-16,ANTIOQUIA,933,29.0,31.3,6677930
433,2020-07-17,ANTIOQUIA,1053,22.0,31.3,6677930
434,2020-07-18,ANTIOQUIA,1353,17.0,31.3,6677930
435,2020-07-19,ANTIOQUIA,960,29.0,31.3,6677930
436,2020-07-20,ANTIOQUIA,1193,23.0,31.3,6677930
437,2020-07-21,ANTIOQUIA,1850,36.0,31.3,6677930
438,2020-07-22,ANTIOQUIA,1062,29.0,31.3,6677930
439,2020-07-23,ANTIOQUIA,862,28.0,31.3,6677930
440,2020-07-24,ANTIOQUIA,1309,36.0,31.3,6677930
441,2020-07-25,ANTIOQUIA,1114,30.0,31.3,6677930
442,2020-07-26,ANTIOQUIA,1110,38.0,31.3,6677930
443,2020-07-27,ANTIOQUIA,1978,34.0,31.3,6677930
444,2020-07-28,ANTIOQUIA,1108,45.0,31.3,6677930
445,2020-07-29,ANTIOQUIA,1617,44.0,31.3,6677930
446,2020-07-30,ANTIOQUIA,1840,47.0,31.3,6677930
447,2020-07-31,ANTIOQUIA,2075,38.0,31.3,6677930
448,2020-08-01,ANTIOQUIA,2988,46.0,31.3,6677930
449,2020-08-02,ANTIOQUIA,2281,37.0,31.3,6677930
450,2020-08-03,ANTIOQUIA,2900,47.0,31.3,6677930
